;Word 0;Word 1;Word 2;Word 3;Word 4;Word 5;Word 6;Word 7;Word 8;Word 9;Word 10;Word 11;Word 12;Word 13;Word 14;Word 15;Word 16;Word 17;Word 18;Word 19;Word 20;Word 21;Word 22;Word 23;Word 24;Word 25;Word 26;Word 27;Word 28;Word 29;Word 30;Word 31;Word 32;Word 33;Word 34;Word 35;Word 36;Word 37;Word 38;Word 39;Word 40;Word 41;Word 42;Word 43;Word 44;Word 45;Word 46;Word 47;Word 48;Word 49;Word 50;Word 51;Word 52;Word 53;Word 54;Word 55;Word 56;Word 57;Word 58;Word 59;Word 60;Word 61;Word 62;Word 63;Word 64;Word 65;Word 66;Word 67;Word 68;Word 69;Word 70;Word 71;Word 72;Word 73;Word 74;Word 75;Word 76;Word 77;Word 78;Word 79;Word 80;Word 81;Word 82;Word 83;Word 84;Word 85;Word 86;Word 87;Word 88;Word 89;Word 90;Word 91;Word 92;Word 93;Word 94;Word 95;Word 96;Word 97;Word 98;Word 99
Topic 0;england;haus;handel;straße;englisch;gehören;lord;platz;kaufen;lage;hoch;nation;insel;engländer;fest;marquis;steuer;waar;zahl;verkaufen;wagen;fuß;fahren;edict;preis;europa;entscheiden;mill;auswärtig;jährlich;betragen;de;sturm;fonds;einzig;bevölkerung;seite;kapital;ungeheuer;stock;errichten;nähern;treiben;obig;caffé;rath;luxussteuer;ort;käufer;unterhaus;continent;politisch;sache;pf;fremd;drucken;letter;revolution;sinken;summe;anleihe;baronet;ursprung;periode;wellesley;anhänglichkeit;bedürfnis;hof;ostsee;furchtbar;denkmaal;unterhause;märz;helgoland;helfen;ausführung;heißen;felsen;fels;reich;engländerin;wachsthum;balken;quadratmeile;verzweiflung;versteuern;grenville;verkäufer;gouverneur;gouvernement;vergrößerung;sturme;bey;mornington;canal;beleidigend;tragen;zweifeln;hofprediger;wiederherstellung
Topic 1;blatt;stück;berlin;berliner;erhalten;anzeige;publikum;abendblätter;abendblätt;erscheinen;französisch;aufsatz;aufnehmen;nehmen;october;erklärung;expedition;kirche;zeitung;ausgeben;folgend;lassen;bemerken;wünschen;hiesig;königl;bleiben;journal;hitzig;übernehmen;kosten;hamburg;einwohner;hand;december;courant;betragen;zeile;liefern;gemeinde;nro;letzter;berichtigung;aufforderung;leipzig;antheil;bezahlen;buchhandlung;erklären;groschen;erfahren;ereignis;adreßbuch;rücksicht;wenden;einzeln;seite;versprechen;unterzeichnet;hinsicht;postamt;theil;freimüthig;unbekannt;publiko;enthalten;abgeben;pr;kralowsky;thaler;ehre;freibillet;verlangen;stehetn;abfassen;rezensent;abend;abonnent;ernte;gründlich;interesse;beziehen;geldsumme;kanzelredner;abonnirt;censur;januar;christenthum;bitten;ausführung;exemplar;sonntäglich;wunsch;voßisch;maasregel;verbindung;geben;einrichtung;einsender;heutig
Topic 2;sr;hoheit;prinzessinn;graf;königl;gr;kronprinz;gräfinn;haus;antw;schweden;brief;bruder;glauben;ankunft;stockholm;untersuchung;unglücklich;tod;verhör;gerücht;grafe;kenntniß;wenden;ehre;vorstellen;verbreiten;bleiben;scharfeneck;liegen;person;entsetzlich;nehmen;veranlassung;se;ex;festung;unterrichten;gelegenheit;minde;sir;schrecklich;dauern;venedig;piper;la;signora;val;reichsmarschall;bekommen;freundinn;franzeska;vorfall;erdstoß;gustav;beauftragen;verdacht;maj;grund;theilnahme;gespräch;wissen;ort;unterhaltung;deutsche;deutschl;wagen;reichsm;prozeß;königinn;publiko;gerichtlich;neapel;commandant;tafel;verhängen;hirn;gewissen;beschwichtigen;behandlung;gast;unschuld;journal;riga;abscheulich;aeußerung;offizier;reisewagen;antrag;wien;umlauf;dortig;früh;ernennen;corr;hand;feuer;jmpey;kuh;sohn
Topic 3;leben;art;lassen;weise;finden;scheinen;stehen;bringen;geben;zeigen;mensch;liegen;glauben;kraft;geist;wissen;grund;setzen;hand;stand;führen;hoch;schreiben;letzter;auge;verstehen;fall;halten;seite;folgen;stellen;blatt;treten;volk;sagen;welt;frage;theil;gegenstand;that;eign;meinung;absicht;öffentlich;umstand;bestehen;bleiben;gelegenheit;fortsetzung;sache;ziehen;menschlich;gieben;beschluß;tragen;kennen;schule;gehören;folge;erfahrung;natürlich;geschehen;bilden;gedanke;kurz;ergreifen;groß;bestimmen;gut;übrig;erklären;ding;erkennen;wort;erde;sehen;sprechen;denken;gefühl;geschäft;vermögen;frei;boden;seele;person;fühlen;mögen;wahr;äußern;richtung;verschieden;anfang;baum;gebiet;kreis;kommen;erfüllen;sogenannter;fragen;form
Topic 4;leben;freund;herz;mann;alt;gut;werk;könig;kirche;gott;nehmen;erlauben;heilig;wunsch;nennen;kind;freude;verlieren;tod;fest;himmel;zeit;zweck;lieben;leiden;liebe;augenblick;erwarten;stehen;königlich;urtheil;glücklich;bürger;gewähren;früh;neu;wille;hoffnung;hoffen;krieg;paar;verewigt;legen;bestimmen;spitze;behandeln;königin;hervorgehen;andenken;hoch;schön;jetzig;lieb;welt;lust;staatsmann;name;gemüther;gelangen;opfer;antheil;achtung;predigt;verordnung;licht;treu;nacht;ernst;erklären;vaterland;schmerz;erwecken;prediger;fromm;wein;frucht;leute;eylert;giebt;streit;christ;verbieten;wittenberg;luther;begeisterung;verbindung;brief;verbinden;treten;vergessen;provinz;gute;persönlich;christlich;vertrauen;ausrüsten;gesundheit;mild;kapelle;italiänisch
Topic 5;kraus;verfasser;wissenschaft;freiheit;kopf;staat;werk;adam;aufsatz;smith;schrift;fragment;professor;grundsatz;wirken;praktisch;lehre;nennen;leser;mann;urtheil;vorwurf;bemerkung;buch;halten;ruhm;ps;talent;politisch;christian;sinn;warnen;wahrheit;suchen;wissenschaftlich;unterricht;eigenthum;umgang;erziehung;entwickeln;verdienst;übertrieben;buchstabe;beweis;verleger;gewiß;staatswirthschaft;regierung;schriftsteller;verhältnis;staatsbeamt;dortig;europa;name;fordern;persönlichkeit;einfluß;preuß;vaterland;eigenthümlich;jakob;staatswirthschaftlich;anspruch;antwort;gelangen;fördern;verstorben;feuerbrand;stolz;tod;gelehrt;kr;bedürfen;gründlich;mitwirken;ehre;schüler;smithsch;menschheit;zwiespalt;zuschauer;bestimmung;berichtigen;bearbeitung;buchstab;vorlesung;königsberg;unfehlbar;unbedingt;leuchten;übrig;schätzen;staatsmann;preußen;andre;wunder;kritik;klasse;deutschland;innerer
Topic 6;thl;deutsch;universität;schrift;frau;hitzig;kirche;brief;katholisch;hoch;friedrich;berlin;gelehrt;bildung;band;bleiben;literarisch;weiblich;öffentlich;handbuch;schön;stelle;et;gr;deutschland;literatur;preußisch;zeit;zweck;roman;gedanke;stunde;karl;heinrich;buchhandlung;taschenbuch;schiller;richtung;institut;sprache;glücklich;fach;classisch;gebrauch;philosophie;museum;besondern;deutsche;erschienen;theil;geist;vaterländisch;meister;wissenschaftlich;buch;schlegel;stael;republik;musik;antwort;aufgabe;nachdrücke;geschichte;monarchie;bearbeitung;setzen;göttingen;theile;ehre;nachdruck;idee;wien;frei;vf;vaterland;schild;saale;ankündigen;titel;bürgerlich;lied;lieb;geschenk;neu;wichtig;luther;vormünd;généreaux;zeitschrift;menschlich;grammatik;kramer;erlaubnißzettel;gefordert;bibliothek;witte;wielands;chantilly;legat;eignen
Topic 7;fallen;körper;bringen;kugel;abbé;bedingung;geschehen;wasser;rthl;kranke;schuß;geschichte;gesellschaft;augenblick;wundarzt;mitglied;fall;elektrisch;hauptmann;grafe;gräfin;zahlen;bekommen;block;officier;suchen;pommern;überlassen;probe;auge;heftig;jäger;verbinden;erzählen;pfandbriefe;schmerz;zins;schießen;brücke;baar;coupon;wahrscheinlichkeit;wahrheit;sache;zahlung;rufen;summe;beträchtlich;elbe;gewiß;sonderbar;liebe;indeß;ufer;band;fehlen;weiblich;herzog;umlauf;lyon;vereinigt;gleichgewicht;bischof;unelektrisch;termin;steinbruch;steigen;dijon;sprechen;elektricität;weihnachten;schelde;kaufmann;johannis;jetzig;woche;wunde;apchon;tilgung;flach;bemühen;letzterer;aufnehmen;schmalz;horst;faldoni;tod;haut;landedelmann;kahn;münze;creditsystem;jägerei;gegend;rehbock;einzahlen;einzahlung;elbufer;auszahlung;reise
Topic 8;jung;kind;sehen;frau;lassen;mann;sterben;vater;halten;legen;hand;mädchen;gehen;arm;sohn;haus;alt;zimmer;befinden;gesellschaft;erzählen;stunde;schlagen;hören;stadt;suchen;erheben;reise;tochter;verlassen;erhalten;anblick;sitzen;schön;fahren;versuchen;nehmen;wagen;hof;kurz;wissen;vorfall;knabe;verbreiten;mutter;retten;setzen;geschichte;eltern;bett;lieben;besuchen;stark;marchese;schrecken;alter;leute;pflegen;rühren;liebhaber;geliebter;mensch;italien;helfen;uralt;woche;schlafen;tag;versammeln;gefahr;buch;begraben;befohlen;liegen;geräusch;kehren;sau;ofen;braut;darstellen;laster;erfahren;schloß;zeuge;zug;sorgen;mitte;hals;hügel;blut;stroh;sarg;jüngling;schwerdt;schritt;ehepaar;goldn;pistole;bedient;thür
Topic 9;polizeilich;hiesig;finden;haus;hund;abend;feuer;straße;brod;nacht;beschädigen;untersuchung;nehmen;wohnung;kaufmann;ziehen;stück;gr;fallen;schwarz;brand;pferd;verhaften;zerschlagen;entdecken;bürger;einwohner;kutscher;bauer;schönberg;arzt;charlottenburg;leicht;september;fremd;erkennen;fenster;eisern;konfiszirt;rapport;thlr;fehlen;abgebrannt;kopf;spur;dienst;flamme;treffen;october;steglitz;befinden;herrschaft;verschlossen;unterrichten;rthlr;geld;übergeben;geben;hülfe;knabe;verbrecher;stecken;person;verbrechen;mordbrennerei;gerücht;brandbrief;polizei;tabagie;mannsperson;verschieden;mensch;gebissen;ecke;glorie;letzterer;sämmtlich;berichtigen;rath;arretirt;spiritus;silbern;wachsamkeit;delinquent;handlungsdiener;führen;frd;brandstiftung;scheune;boden;entsetzlich;urheber;spandau;brennerei;vorsätzlich;triktrak;tanzboden;vieh;pfeife;brietz
Topic 10;staat;gesetz;nation;allgemein;regierung;verfassung;gesetzgebung;entstehen;zukunft;erhalten;äußerer;kraft;geld;land;provinz;natur;einrichtung;innerer;stände;ewig;augenblick;gewerbe;titel;sicherheit;verhältnis;halten;verlangen;brittisch;andre;wohlstand;credit;erwarten;eintreten;einzig;monarchie;mangel;geist;preussisch;beschränkung;aufhebung;gieben;wort;jahrhundert;groß;vergangenheit;ueberzeugung;satzung;bedürfnis;operation;angelegenheit;industrie;aufgabe;lassen;gerechtigkeit;wesentlich;intensiv;frieden;rücksicht;vaterländisch;ersetzen;nationalcredit;bürgerlich;respekt;schritt;einfluß;stand;vorfahre;creditor;volksmeng;beschäftigen;gedeihen;oct;wille;gründen;meer;erhaben;erhöhen;zeit;zutrauen;zweifel;übergeben;gesetzgeber;constitution;resultat;vaterlandsliebe;cours;generalhypotheke;gesetzgebend;preis;gottheit;nationalität;roh;geistlich;kräftig;hypothek;zwang;versprechen;mißbrauch;basis;veränderung
Topic 11;könig;majestät;prinz;lassen;schweden;königl;krankheit;regentschaft;brief;se;minister;parlament;familie;sr;stelle;karl;bericht;gegenwärtig;reich;wallis;person;krone;lauf;wahnsinn;handeln;erklären;herstellen;beziehen;antwort;wechsel;thron;angelegenheit;plan;alt;schicken;gesandter;dänemark;gewalt;zweig;ernennen;übertragen;verfahren;ordentlich;haupt;christian;annehmen;kanzler;grundsatz;diplomatisch;commission;stände;institut;regenten;frieden;hoffen;stimme;ix;rede;jetzig;sache;einnehmen;van;willis;bringen;königinn;funktion;völlig;degen;deputation;dieb;geschäft;prinzessinne;schloß;speisen;baron;herzog;versehen;zusammenberufung;arretirt;verstand;vorstellung;beifall;mann;gewiß;mitglied;vermahnung;betrachten;arzt;beschäftigen;schatzkammer;kanton;erfolgen;solltest;schweizer;schwedisch;doctor;delirium;störung;reden;erhaben
Topic 12;gott;seite;bewegung;fragen;treffen;auge;fuß;antworten;finden;augenblick;stehen;werfen;bemerken;bitten;rufen;glied;welt;kommen;mann;zimmer;wort;gewalt;freund;tanz;tisch;sagen;tänzer;licht;blut;mund;thüre;gegner;fenster;lippe;gnade;bär;folgen;linker;name;körper;puppe;wachtmeister;greifen;linie;mensch;unglücklich;bewußtsein;aussehen;versetzen;gesellschaft;würdig;tanzen;bein;öffnen;sonderbar;fallen;sonderbaren;doktor;befestigen;beschluß;anwesende;spielen;bjelke;schwerpunct;schein;kopf;ziehen;marionettentheater;reichsdrost;spiegel;vorstellen;schenkel;schlüssel;stoß;grazie;mond;heben;figur;winkel;anmuth;leib;gesicht;reichsrath;blick;tatze;rappier;essen;stöße;fürchten;thier;pariren;haupt;vortrefflich;leiblich;ausbilden;voraus;marionette;versiegeln;stoßen;verkehr
Topic 13;bild;kunst;porträt;künstler;arbeit;meister;erscheinen;wirkung;natur;talent;ausstellung;ausdruck;wünschen;idee;jung;scheinen;deutsch;mahler;farbe;schön;darstellen;erhalten;wesen;fehlen;wahrheit;eigenthümlich;dichter;gesicht;gehören;lob;alt;bilde;ausdrücken;reden;charakter;nennen;uebersicht;behandlung;werth;betrachten;ernst;kunstwerk;ansehen;vermissen;poesie;schatten;geschichte;religion;verlangen;sinn;allgemein;bemühen;verstorben;versuch;finden;frau;gedanke;mutter;gedicht;darstellung;schmücken;erwähnen;selten;erhaben;rom;vorzüglich;landschaft;befriedigen;maler;mittelmäßig;beurtheilung;erfindung;büry;schadow;aussehen;schönheit;blume;zeichnung;theile;madonna;zuschauer;madame;feiern;gestalt;gesund;äußerer;fürst;letzter;erwecken;ausführung;ideal;anstalt;anspruch;stimme;mahlerei;ausgestellt;einzeln;gemälde;malen;gegenwärtig
Topic 14;sprechen;pferd;anekdote;wissen;führen;schwein;kerl;rufen;franzose;sagen;halten;ziehen;name;gott;fallen;schlacht;blinde;himmel;wirth;dorf;mensch;bleiben;krieg;fragen;augenblick;general;sag;noth;kopf;jonas;thüringer;eins;kammerdiener;trinken;kümmel;erscheinen;killigrew;denken;ei;rede;platz;feldprediger;drücken;auge;hut;versprechen;antworten;obrist;petre;teufel;schenk;kaiser;fürst;hören;witz;erde;stellen;flasche;bekommen;czar;reiten;wenden;ergreifen;magistrat;hand;gedenken;bedeckt;widerfahren;mauer;prügel;tafel;feuer;rose;heiland;glas;bezahlen;erndte;tod;sprengen;pfeife;pfahl;einzeln;seel;schreien;sanctus;sanct;bowes;lauf;gering;werfen;waizenkorn;stunde;schranke;stiefel;tambour;geballt;mitkämpfer;erlegen;vorsatz;preußisch
Topic 15;theater;bühne;geben;rolle;stück;publikum;sehen;schauspieler;musik;spielen;spiel;klaviatur;stimme;mslle;werk;oper;ton;vorstellung;darstellung;mad;shakespear;iffland;tonart;aufführen;kritik;vergnügen;beifall;dichter;direction;direktion;bethmann;hervorbringen;mal;schauspiel;einfach;lied;verstand;dramatisch;herbst;zeitung;einzeln;jungfrau;zuschauer;unzelmann;mittheilen;müller;zweifeln;paer;kunst;achilles;beck;schleier;uebung;finger;empfangen;wien;genie;lernen;leisten;erscheinung;wirkung;mädchen;instrument;richard;fremd;paris;übersetzen;hoftheater;antwort;gering;verdienen;verbesserung;recension;stimmen;schütz;melodie;beschreiben;rochus;orlean;sparen;maas;cendrillon;madam;aufstellen;einfall;einstudirt;declamation;orchester;außerordentlich;meister;brizzi;monat;besonderer;heer;pumpernickel;tasteninstrument;bewegung;edwin;virtuose;casse
Topic 16;stadt;berlin;versuch;vermittelsen;brief;nachricht;ballon;nacht;stunde;antwort;schreiben;erfindung;wind;befinden;direction;kunst;ort;claudius;gering;berliner;bestimmt;artikel;gegende;richtung;kosten;wäsche;paris;post;legen;unternehmen;steigen;vorgefallen;liegen;winde;erfinden;schlagen;luft;treffen;entwickelung;erfolgen;luftball;verfahren;düben;entscheiden;nächster;befassen;gegend;aufstellen;unbekannt;veränderung;entwurf;oct;vorherbestimmung;antworten;einsender;prozeß;fl;fehlen;tag;zählen;ausschreiben;bombenpost;casse;lüfte;gondel;befriedigen;aeußerung;maschiene;nummer;garnerin;satz;heu;richter;drittheil;bewegen;verunglücken;legat;niederkommen;glücklich;vermachen;dämpfe;gränze;seefahrer;strömung;reichard;collecteur;fackel;hrn;lotterie;zeitung;träumen;beruhen;stadtpfarrer;stadtfarr;römisch;telegraphen;zweifel;melden;luftmasse;schwierigkeit
Topic 17;schiff;finden;officier;englisch;hafen;fordern;schließen;land;capitain;nachricht;neger;monat;mensch;meer;bemerken;schwarze;matrose;arbeit;gefahr;fahrzeug;befinden;brauchen;holz;zustand;rechnung;cadix;fortsetzung;folgen;ehre;leisten;amerika;beweis;kehren;insel;gefangener;pflegen;öffentlich;meile;wetter;colonie;hamburg;weiber;beginnen;lager;woche;küste;begeben;begreifen;kanon;stoßen;abnehmen;singen;feind;verf;hülfe;knabe;gang;compagnie;ew;luft;london;jerasimov;nähe;tag;einnehmer;eigenthum;feuerwerker;einlaufen;übergeben;sprengen;pulverkammer;heftig;budjet;norwegen;dänisch;schlecht;diebstahl;vergnügen;demerary;flecken;werth;kapuziner;verbindung;lunte;feldzug;radius;peyrouse;erwerb;geld;parma;tagelöhner;muth;arbeiten;ausgezeichnet;trösten;hamburger;the;soissons;franz;wahabis
Topic 18;dame;stadt;empfindung;schicken;thor;kloster;rede;schwester;regiment;tragen;schwärmerei;seite;musik;leute;geschlecht;bande;schwarz;nonne;mode;führen;gesicht;rand;verfügen;wasser;begehen;sinn;befehl;wache;geschäft;wohlklang;messe;schuld;thorheit;falbel;haltend;zurückkehren;aebtissinn;übernehmen;dom;kleid;vernehmen;flüchtig;aufführung;abend;männlich;beginnen;bruder;glocke;rhythmus;schöne;einsam;cäcilie;zeigen;gegenwart;stock;gasthof;excelsis;heilig;vogel;niederlande;denken;wort;leib;heißen;hals;esel;gloria;giebt;antonia;schutz;klostervoigt;auftritt;partitur;leichenstein;einzig;orgel;europa;beilegen;aschenbröd;leisen;dominus;einfassung;versichern;wange;prädikant;diex;steckbriefen;feston;magistrat;vive;frohnleichnamsfest;cäcilia;arbeiter;korb;getrennt;schwärmen;schönpflästerchen;unverbrennliche;erfahrung;bilderstürmerei
Topic 19;blatt;paris;armee;öffentlich;bülletin;maj;london;nachricht;sr;kaiser;französisch;gen;mon;enthalten;lissabon;kaiserl;oct;truppe;frankreich;ankommen;portugal;wellington;dec;massena;december;folgend;lord;moniteur;krankheit;feind;engländer;spanisch;scheinen;corps;general;bringen;de;franz;melden;russisch;befehl;erhalten;position;november;spanien;nehmen;schweiz;werk;setzen;januar;prinz;heutig;regierung;angreifen;bewegung;division;verlassen;hamb;neu;fieber;liste;versichern;mann;ufer;herrschen;wien;nacht;befinden;fontainebleau;groß;empfangen;stellung;vorgefallen;rußland;kaiserinn;schiff;krieg;offizier;indeß;feindlich;messe;werfen;neapel;admiral;ausgabe;oesterreich;engl;england;dienst;ibid;beträchtlich;reise;hoffnung;gelb;oestreich;versammeln;verordnen;begeben;rath;fortschritt
